,loss
0,1.9451210498809814
1,1.7253317832946777
2,1.3666417598724365
3,1.1026960611343384
4,0.9609849452972412
5,0.5956666469573975
6,0.439740389585495
7,0.2536626160144806
8,0.19968783855438232
9,0.07113413512706757
10,0.0561569407582283
11,0.032878030091524124
12,0.01821259595453739
13,0.010481101460754871
14,0.011336478404700756
15,0.005815299227833748
16,0.004004230257123709
17,0.0026905767153948545
18,0.0026799675542861223
19,0.0015803809510543942
20,0.0019991020672023296
21,0.0012080625165253878
22,0.001117240870371461
23,0.0006716295029036701
24,0.0009034355171024799
25,0.0006738239317201078
26,0.0005726419040001929
27,0.0007596036302857101
28,0.0004739743599202484
29,0.00043176088365726173
30,0.0003614464367274195
31,0.00045759486965835094
32,0.0002186286001233384
33,0.00033738568890839815
34,0.00025978535995818675
35,0.00029001032817177474
36,0.0002499247493688017
37,0.0001891084830276668
38,0.00021261005895212293
39,0.0001876598980743438
40,0.00011926844308618456
41,0.00014154754171613604
42,0.0001300671137869358
43,0.00012739805970340967
44,0.00013128796126693487
45,0.00013840007886756212
46,0.00010641055268933997
47,0.00014390888100024313
48,8.393397729378194e-05
49,5.9717138356063515e-05
50,6.27894260105677e-05
51,5.930283441557549e-05
52,8.839883230393752e-05
53,6.262346869334579e-05
54,7.569111767224967e-05
55,9.38313314691186e-05
56,9.344119462184608e-05
57,0.00011034259659936652
58,5.8428322518011555e-05
59,8.360971696674824e-05
60,6.292720354394987e-05
61,5.538454934139736e-05
62,5.067445454187691e-05
63,9.96886010398157e-05
64,4.3448748328955844e-05
65,5.806885383208282e-05
66,5.4992109653539956e-05
67,4.9386610044166446e-05
68,7.130262383725494e-05
69,6.204356759553775e-05
70,4.7302371967816725e-05
71,5.210747258388437e-05
72,5.487146700033918e-05
73,5.644244811264798e-05
74,6.0803718952229246e-05
75,4.983630424248986e-05
76,3.458602441241965e-05
77,7.973596075316891e-05
78,5.182179666007869e-05
79,3.554116119630635e-05
80,4.135331982979551e-05
81,4.3785803427454084e-05
82,3.6281635402701795e-05
83,4.1585306462366134e-05
84,4.3301002733642235e-05
85,4.7644574806327e-05
86,3.451830707490444e-05
87,2.8680336981778964e-05
88,7.546113920398057e-05
89,5.030286774854176e-05
90,3.157396713504568e-05
91,3.394197847228497e-05
92,0.00012506538769230247
93,3.243928586016409e-05
94,3.60888043360319e-05
95,6.352503260131925e-05
96,3.9521906728623435e-05
97,3.8533256883965805e-05
98,3.516305878292769e-05
99,3.4382279409328476e-05
100,4.927038753521629e-05
101,4.8198693548329175e-05
102,3.5493754694471136e-05
103,4.312139208195731e-05
104,4.532568345894106e-05
105,3.166336318827234e-05
106,3.128592288703658e-05
107,3.915847992175259e-05
108,5.2624531235778704e-05
109,3.379408371984027e-05
110,4.157981675234623e-05
111,2.4184999347198755e-05
112,2.9058570362394676e-05
113,3.197168553015217e-05
114,4.18482486566063e-05
115,3.236737393308431e-05
116,3.229209323762916e-05
117,2.6557281671557575e-05
118,3.111084151896648e-05
119,2.738455805229023e-05
120,2.5329141863039695e-05
121,3.153892612317577e-05
122,2.761413088592235e-05
123,3.693234612001106e-05
124,2.2224920030566864e-05
125,4.2433428461663425e-05
126,2.3491862521041185e-05
127,2.1065321561763994e-05
128,2.1637659301632084e-05
129,3.307027873233892e-05
130,2.5225383069482632e-05
131,2.6164916562265716e-05
132,2.9814542358508334e-05
133,2.297381251992192e-05
134,3.933794141630642e-05
135,2.892189695558045e-05
136,2.9083779736538418e-05
137,2.8498332540038973e-05
138,2.1793634005007334e-05
139,2.2485433873953298e-05
140,4.103785249753855e-05
141,2.8959435439901426e-05
142,3.608292536227964e-05
143,2.7105405024485663e-05
144,2.7558966394281015e-05
145,1.899629751278553e-05
146,1.99107380467467e-05
147,6.40301441308111e-05
148,2.25954718189314e-05
149,3.6243694921722636e-05
150,3.766396184801124e-05
151,2.0753761418745853e-05
152,5.673410851159133e-05
153,2.6246611014357768e-05
154,2.6057394279632717e-05
155,2.504993972252123e-05
156,1.9273969883215614e-05
157,1.8190929040429182e-05
158,2.6141979105887003e-05
159,2.2188763978192583e-05
160,2.1197924070293084e-05
161,2.1950752852717414e-05
162,2.1507970814127475e-05
163,2.5498578906990588e-05
164,2.11460173886735e-05
165,1.9711351342266425e-05
166,1.4609688150812872e-05
167,2.3048758521326818e-05
168,2.6046389393741265e-05
169,4.0146256651496515e-05
170,1.3242228305898607e-05
171,1.4533057765220292e-05
172,1.9149256331729703e-05
173,2.5642721084295772e-05
174,1.4391690456250217e-05
175,1.4049462151888292e-05
176,2.574606151029002e-05
177,3.3173695555888116e-05
178,1.8136404833057895e-05
179,2.194157787016593e-05
180,1.729170799080748e-05
181,3.597280738176778e-05
182,1.1190220902790315e-05
183,2.1301570086507127e-05
184,1.969790355360601e-05
185,2.221986505901441e-05
186,1.6171066818060353e-05
187,1.8144684872822836e-05
188,2.3157737814472057e-05
189,2.7814539862447418e-05
190,2.1703859601984732e-05
191,1.5593979696859606e-05
192,1.6971387594821863e-05
193,1.6486132153659128e-05
194,1.7349404515698552e-05
195,1.9703011275851168e-05
196,1.5726160199847072e-05
197,2.094786577799823e-05
198,2.2997684936854057e-05
199,1.4389982425200287e-05
