,loss
0,0.9833527207374573
1,0.8704634308815002
2,0.8670768737792969
3,0.48355376720428467
4,0.33717140555381775
5,0.1720285266637802
6,0.06317055225372314
7,0.11592075228691101
8,0.011151964776217937
9,0.03953555226325989
10,0.10210005939006805
11,0.06658967584371567
12,0.02933986485004425
13,0.03188818693161011
14,0.004488813225179911
15,0.008710145950317383
16,0.004849259741604328
17,0.024047937244176865
18,0.03514359891414642
19,0.0027849972248077393
20,0.010101011022925377
21,0.000841443077661097
22,0.0005174988182261586
23,0.0006018546409904957
24,0.00021436711540445685
25,6.722922989865765e-05
26,5.336484537110664e-05
27,7.729117351118475e-05
28,8.495696965837851e-05
29,5.559431519941427e-05
30,0.00013028614921495318
31,0.00016506081738043576
32,0.00046242435928434134
33,8.965494635049254e-05
34,8.227273792726919e-05
35,3.5543467674870044e-05
36,2.4376535293413326e-05
37,5.913846689509228e-05
38,7.624435966135934e-05
39,0.00012903935567010194
40,7.543851097580045e-05
41,1.8509850633563474e-05
42,0.00012986696674488485
43,3.835692405118607e-05
44,3.799170008278452e-05
45,4.389058449305594e-05
46,4.210613769828342e-05
47,1.938565583259333e-05
48,1.5243129382724874e-05
49,3.5523778933566064e-05
50,4.472037107916549e-05
51,3.276735151303001e-05
52,3.059778828173876e-05
53,3.3162250474561006e-05
54,2.536630563554354e-05
55,2.9293205443536863e-05
56,2.048548594757449e-05
57,1.3038174984103534e-05
58,2.3848315322538838e-05
59,2.520168709452264e-05
60,5.708926892111776e-06
61,6.515846325783059e-05
62,0.0003303673292975873
63,2.850986311386805e-05
64,1.3034020412305836e-05
65,3.238502540625632e-05
66,8.753826477914117e-06
67,8.208282815758139e-05
68,2.7438583856564946e-05
69,9.675970431999303e-06
70,2.2582753445021808e-05
71,2.6453230020706542e-05
72,1.0555243534327019e-05
73,5.9733456510002725e-06
74,5.729402801080141e-06
75,1.6744790627853945e-05
76,1.1134347005281597e-05
77,2.002880682994146e-05
78,5.127850090502761e-05
79,1.918340967677068e-05
80,3.633944743341999e-06
81,4.3771583477791864e-06
82,1.1693510714394506e-05
83,7.97382108430611e-06
84,3.5613209092844045e-06
85,1.670862729952205e-05
86,8.917852028389461e-06
87,7.724202077952214e-06
88,5.8801456361834425e-06
89,6.72005808155518e-06
90,5.7591532822698355e-06
91,1.2248228813405149e-05
92,1.3553849385061767e-05
93,9.927604878612328e-06
94,3.6659894249169156e-05
95,9.37624918151414e-06
96,1.6875825167517178e-05
97,2.4650717023178004e-05
98,1.6424834029749036e-05
99,2.667285116331186e-06
100,9.407262041349895e-06
101,3.8761208998039365e-06
102,4.31746866524918e-06
103,3.7196707580733346e-06
104,4.609886218531756e-06
105,2.967686486954335e-05
106,2.428856532787904e-06
107,3.8258381209743675e-06
108,2.8702779673039913e-06
109,7.859699508117046e-06
110,5.701363988919184e-06
111,5.563630111282691e-06
112,1.9196273569832556e-05
113,4.777577487402596e-06
114,1.7639151792536722e-06
115,1.7899926660902565e-06
116,3.3210460514965234e-06
117,3.514726813591551e-06
118,1.064752541424241e-05
119,3.1496883821091615e-06
120,3.0647577659692615e-05
121,5.015937404095894e-06
122,4.3938921407971065e-06
123,2.8889119221275905e-06
124,4.079147402080707e-06
125,3.410467797948513e-06
126,5.049501851317473e-06
127,1.058671114151366e-05
128,2.3804134343663463e-06
129,8.353997145604808e-06
130,2.6075481400766876e-06
131,1.5608899275321164e-06
132,8.617370440333616e-06
133,1.4901056601956952e-06
134,3.887260845658602e-06
135,2.6337527287978446e-06
136,1.813919334381353e-05
137,2.4140806999639608e-05
138,9.09727987163933e-06
139,2.4809974092931952e-06
140,9.362624950881582e-06
141,2.7250146104051964e-06
142,1.184634015771735e-06
143,1.9222338778490666e-06
144,3.064768679905683e-05
145,7.392543466266943e-06
146,9.474417311139405e-06
147,1.2479661108955042e-06
148,3.7754400636913488e-06
149,2.5685321816126816e-06
150,2.7081689495389583e-06
151,7.789300070726313e-06
152,2.14946976484498e-06
153,5.801365114166401e-05
154,8.549517360734171e-07
155,1.704307919681014e-06
156,1.3802083458358538e-06
157,2.2109406927484088e-06
158,2.2202225409273524e-06
159,1.26100417219277e-06
160,3.253915338063962e-06
161,1.400693122377561e-06
162,4.256034571881173e-06
163,2.067517471004976e-06
164,2.516406993890996e-06
165,1.5869621847741655e-06
166,2.6914885893347673e-06
167,1.2144390666435356e-06
168,3.028591208931175e-06
169,1.6912700857574237e-06
170,2.110315335812629e-06
171,3.8568396121263504e-05
172,1.510595893705613e-06
173,2.5728417313075624e-05
174,6.165326453810849e-07
175,9.778865432963357e-07
176,1.5142998108785832e-06
177,4.144254944549175e-06
178,1.0486562587175285e-06
179,2.849843951935327e-07
180,6.393899639078882e-06
181,1.926405275298748e-05
182,4.470335284167959e-07
183,6.407476007552759e-07
184,4.302609795558965e-06
185,5.49608421351877e-06
186,5.308493769007328e-07
187,2.849843951935327e-07
188,9.689384569355752e-06
189,4.4144573507765017e-07
190,3.576270728444797e-07
191,1.2833572782255942e-06
192,1.4509873835777398e-06
193,1.3001199477002956e-06
194,4.917368983115011e-07
195,2.1083412170410156
196,0.881577730178833
197,0.3720240592956543
198,0.06045660004019737
199,0.03057522140443325
