,loss
0,1.8345553874969482
1,1.2761327028274536
2,0.9509348273277283
3,1.1080451011657715
4,1.1529350280761719
5,0.7243561148643494
6,0.6290378570556641
7,0.727514386177063
8,0.6430360078811646
9,0.4894171357154846
10,0.5784938931465149
11,0.5966276526451111
12,0.1793595403432846
13,0.3387945592403412
14,0.23832683265209198
15,0.47217997908592224
16,0.09046713262796402
17,0.04900700971484184
18,0.14092855155467987
19,0.043629784137010574
20,0.03466174751520157
21,0.047719795256853104
22,0.01974453590810299
23,0.04156450927257538
24,0.07576757669448853
25,0.014999828301370144
26,0.11390197277069092
27,0.297488272190094
28,0.032122641801834106
29,0.26049521565437317
30,0.16339215636253357
31,0.09709975123405457
32,0.06362707167863846
33,0.04340473562479019
34,0.031183801591396332
35,0.021072521805763245
36,0.003569591324776411
37,0.0042288475669920444
38,0.000849596515763551
39,0.0004663609724957496
40,0.0003684034163597971
41,0.0005514170625247061
42,0.0003075972490478307
43,0.0005126209580339491
44,0.0002284607762703672
45,0.00023205435718409717
46,0.00028133299201726913
47,0.00018407926836516708
48,0.0007939487113617361
49,0.00019815462292172015
50,0.00043044128688052297
51,0.0003961428883485496
52,0.0009392632055096328
53,0.00019617326324805617
54,0.00023795054585207254
55,0.00023562571732327342
56,0.0007246938766911626
57,0.0001673663209658116
58,0.001048644189722836
59,0.00025640972307883203
60,7.822985207894817e-05
61,0.0001467207766836509
62,0.00029548516613431275
63,0.00012285777484066784
64,0.00020396914624143392
65,8.706576772965491e-05
66,0.00015967138460837305
67,4.56934176327195e-05
68,8.907877054298297e-05
69,0.00020796376338694245
70,4.738461211672984e-05
71,0.00010082845255965367
72,7.131324673537165e-05
73,8.151232032105327e-05
74,3.609920167946257e-05
75,0.00011055613140342757
76,0.00010059354099212214
77,3.795801239903085e-05
78,8.842640818329528e-05
79,4.0785154851619154e-05
80,0.00012154135038144886
81,5.330438943929039e-05
82,4.495296161621809e-05
83,0.00017746551020536572
84,9.268717985833064e-05
85,2.4488888811902143e-05
86,5.228200097917579e-05
87,0.00011159897258039564
88,4.873817670159042e-05
89,4.488990089157596e-05
90,0.000252867816016078
91,7.37621303414926e-05
92,2.689249231480062e-05
93,4.8583558964310214e-05
94,0.00016529667482245713
95,3.159298648824915e-05
96,3.594374720705673e-05
97,2.221555587311741e-05
98,0.00010186809959122911
99,4.403513594297692e-05
100,6.165526428958401e-05
101,3.569659747881815e-05
102,3.217917765141465e-05
103,0.00024324825790245086
104,4.465661913855001e-05
105,2.024297100433614e-05
106,2.6741767214844003e-05
107,3.1242179829860106e-05
108,2.5253008061554283e-05
109,3.080493479501456e-05
110,3.474946061032824e-05
111,9.000792488222942e-05
112,5.3596530051436275e-05
113,5.534565934794955e-05
114,4.908296250505373e-05
115,4.905724199488759e-05
116,4.121356687392108e-05
117,6.404573650797829e-05
118,1.763308137014974e-05
119,0.00012241024523973465
120,0.00011009066656697541
121,6.0192505770828575e-05
122,6.082594700274058e-05
123,1.94829553947784e-05
124,4.3705520511139184e-05
125,3.65510095434729e-05
126,2.5503421056782827e-05
127,2.3160911950981244e-05
128,2.9014556275797077e-05
129,0.00017888081492856145
130,2.152805609512143e-05
131,1.7544460206408985e-05
132,2.3812546714907512e-05
133,1.8904893295257352e-05
134,0.00015780790999997407
135,2.5521594579913653e-05
136,1.88225312740542e-05
137,1.3088801097183023e-05
138,1.8582979464554228e-05
139,4.220456685288809e-05
140,3.807364191743545e-05
141,0.0002865364367607981
142,2.667731860128697e-05
143,0.00011175098188687116
144,1.6179705198737793e-05
145,1.7479957023169845e-05
146,1.544003862363752e-05
147,3.795753946178593e-05
148,5.208849688642658e-05
149,0.00013241807755548507
150,2.959458652185276e-05
151,6.362840213114396e-05
152,1.6945396055234596e-05
153,4.121081292396411e-05
154,2.7711539587471634e-05
155,9.805543413676787e-06
156,4.263909795554355e-05
157,1.7098887838074006e-05
158,5.462351509777363e-06
159,1.9714207155629992e-05
160,1.1605377949308604e-05
161,4.774771514348686e-05
162,4.304035974200815e-05
163,1.5788926248205826e-05
164,8.702468221599702e-06
165,2.7234778826823458e-05
166,1.0492630281078164e-05
167,4.633068238035776e-05
168,8.38766027300153e-06
169,2.5844081392278895e-05
170,4.956574684911175e-06
171,0.00013024298823438585
172,7.1867525548441336e-06
173,7.545416337961797e-06
174,1.4306009688880295e-05
175,2.8354126698104665e-05
176,1.1720389920810703e-05
177,3.225554610253312e-05
178,8.99921178643126e-06
179,1.7603037122171372e-05
180,3.9329355786321685e-05
181,8.062097549554892e-06
182,8.181821613106877e-06
183,2.0575134840328246e-05
184,3.9100566937122494e-05
185,3.019925679836888e-05
186,5.614746442006435e-06
187,9.377919013786595e-06
188,1.5534384147031233e-05
189,6.239312824618537e-06
190,1.6794148905319162e-05
191,9.314722774433903e-06
192,5.360252998798387e-06
193,1.203966348839458e-05
194,1.2796024748240598e-05
195,7.5843649938178714e-06
196,2.921435225289315e-06
197,8.374367098440416e-06
198,1.244188297278015e-05
199,3.6445238947635517e-05
