,loss
0,1.9069396257400513
1,1.8532432317733765
2,1.5015379190444946
3,1.4526952505111694
4,1.474099040031433
5,1.2482802867889404
6,1.2481839656829834
7,1.31912362575531
8,1.2322955131530762
9,1.1197751760482788
10,1.1054080724716187
11,1.2176673412322998
12,1.2113763093948364
13,1.001882791519165
14,1.0248440504074097
15,0.9190048575401306
16,1.0023256540298462
17,0.9696090221405029
18,0.8111129403114319
19,0.9639075994491577
20,0.6764084696769714
21,0.7032437324523926
22,0.8122416734695435
23,1.1124892234802246
24,0.5314475297927856
25,0.5847017765045166
26,0.554040253162384
27,0.42866823077201843
28,0.3103412389755249
29,0.4042896628379822
30,0.40685686469078064
31,0.42367544770240784
32,0.3521084487438202
33,0.07355959713459015
34,0.2326357215642929
35,0.1655665934085846
36,0.34344974160194397
37,0.1299816370010376
38,0.15727636218070984
39,0.17341749370098114
40,0.09343709796667099
41,0.1253940761089325
42,0.338162899017334
43,0.24647857248783112
44,0.07329633831977844
45,0.0641859695315361
46,0.1277042180299759
47,0.30191728472709656
48,0.040825434029102325
49,0.029748287051916122
50,0.021807223558425903
51,0.34861209988594055
52,0.03836740180850029
53,0.005927348975092173
54,0.0030902724247425795
55,0.05264014005661011
56,0.0007268172921612859
57,0.0027009800542145967
58,0.0021037368569523096
59,0.0008020394598133862
60,4.346676360000856e-05
61,0.0002790387370623648
62,0.0010992527240887284
63,8.491113476338796e-06
64,0.00168988190125674
65,4.0038224824456847e-07
66,3.358121102792211e-05
67,4.846436695515877e-06
68,9.988410965888761e-06
69,0.00011091174383182079
70,0.022894052788615227
71,0.3628189265727997
72,0.2581448256969452
73,0.17561115324497223
74,0.05272239074110985
75,0.06786973774433136
76,0.07534953206777573
77,0.0020705536007881165
78,0.0010345919290557504
79,0.045137688517570496
80,0.03646780177950859
81,0.5547831058502197
82,0.054826002568006516
83,0.10418717563152313
84,0.012698358856141567
85,0.1373201310634613
86,0.013499276712536812
87,0.014845982193946838
88,0.0101185142993927
89,0.016845477744936943
90,0.0001077133056242019
91,0.00032084211125038564
92,0.009055640548467636
93,0.1803034394979477
94,0.009409488178789616
95,0.015002372674643993
96,0.1006600484251976
97,0.04774090647697449
98,0.05098359286785126
99,0.02703680843114853
100,0.27593544125556946
101,0.113547682762146
102,0.08341778814792633
103,0.017757365480065346
104,0.001970113255083561
105,0.00014549568004440516
106,0.00016221472469624132
107,0.0008725346997380257
108,0.0008783909725025296
109,0.00015883953892625868
110,1.5389779946417548e-05
111,2.145627877325751e-05
112,4.772509419126436e-05
113,1.4240213204175234e-05
114,1.1962682037847117e-05
115,1.0070103826365084e-06
116,5.012878682464361e-05
117,0.0006876267143525183
118,5.082486040919321e-06
119,1.9444591998762917e-06
120,8.575645438213542e-07
121,1.3100431033308269e-06
122,9.640987173042959e-07
123,2.988365622513811e-06
124,2.878340410461533e-06
125,8.130162314046174e-06
126,1.175979605250177e-06
127,1.2731003153021447e-05
128,0.00012264597171451896
129,3.3735291253833566e-06
130,2.7785966949522845e-07
131,3.223097564841737e-06
132,8.725992870495247e-07
133,6.489704446721589e-06
134,2.0505714928731322e-05
135,6.308684987743618e-07
136,5.838812171532481e-07
137,1.6813893353173626e-06
138,1.8187083128395898e-07
139,2.541986077631009e-06
140,1.4549581237588427e-06
141,7.890528195275692e-07
142,0.0007073378073982894
143,0.27471548318862915
144,0.1481218785047531
145,0.4891507029533386
146,0.19520080089569092
147,0.02936527505517006
148,0.031733281910419464
149,0.05056118965148926
150,0.07281859964132309
151,0.07892860472202301
152,0.10195448249578476
153,0.11419320851564407
154,0.06600815802812576
155,0.007212325930595398
156,0.04299560934305191
157,0.002696784446015954
158,0.005638467147946358
159,0.05626827850937843
160,0.21461978554725647
161,0.29676640033721924
162,0.01756485551595688
163,0.010267135687172413
164,0.0061552803963422775
165,0.01168026588857174
166,0.002011937089264393
167,0.0008129968191497028
168,0.0011550552444532514
169,0.0033173253759741783
170,0.028699656948447227
171,0.018676629289984703
172,0.021174926310777664
173,0.1417223960161209
174,0.002863988047465682
175,0.0058064935728907585
176,0.000586759124416858
177,0.0006644942332059145
178,7.039709453238174e-05
179,0.0037033904809504747
180,0.00013512378791347146
181,0.00016148749273270369
182,0.0004009995609521866
183,0.00015275475743692368
184,0.0001795698917703703
185,4.815241481992416e-05
186,4.0143291698768735e-05
187,4.006176368420711e-06
188,4.05013906856766e-06
189,3.649800191851682e-06
190,1.2837270332966e-05
191,6.538645720866043e-06
192,2.4038110495894216e-05
193,8.568032399125514e-07
194,4.1893367779266555e-06
195,4.847287982556736e-06
196,1.115295731324295e-06
197,1.4189967032507411e-06
198,3.2059033401310444e-06
199,0.06814492493867874
