,loss
0,1.9048359394073486
1,1.7160695791244507
2,1.3636474609375
3,1.2946759462356567
4,1.4672859907150269
5,1.0713248252868652
6,0.8148613572120667
7,1.2422313690185547
8,1.5246614217758179
9,0.8638610243797302
10,0.9296515583992004
11,0.47752031683921814
12,0.3973473906517029
13,0.845253586769104
14,0.3677220046520233
15,0.26936182379722595
16,0.5424356460571289
17,0.19735069572925568
18,0.3648216724395752
19,0.20862919092178345
20,0.16056568920612335
21,0.056369733065366745
22,0.2381662130355835
23,0.25847405195236206
24,0.13722723722457886
25,0.2888772487640381
26,0.11382705718278885
27,0.03176141530275345
28,0.25612103939056396
29,0.08213558048009872
30,0.018615609034895897
31,0.02766033634543419
32,0.02407839335501194
33,0.05917814001441002
34,0.0025602071546018124
35,0.06744333356618881
36,0.0047302269376814365
37,0.0796075165271759
38,0.040245890617370605
39,0.020441697910428047
40,0.05060262233018875
41,0.02020277827978134
42,0.00030655827140435576
43,0.0013029681285843253
44,0.00013784719340037555
45,0.00010306870535714552
46,3.921106326743029e-05
47,0.0001015820525935851
48,0.00010315387044101954
49,1.970819357666187e-05
50,3.8781308830948547e-05
51,3.878087954944931e-05
52,0.00023354278528131545
53,0.00010172937618335709
54,3.8647114706691355e-05
55,5.688004421244841e-06
56,1.7200238289660774e-05
57,4.058570539200446e-06
58,5.2477873396128416e-05
59,1.5973273548297584e-05
60,0.00010412505071144551
61,4.659597834688611e-05
62,1.806763663125821e-07
63,5.095901087770471e-06
64,2.3810353013686836e-05
65,2.353213494643569e-05
66,1.93895903066732e-06
67,4.971205726178596e-06
68,2.3438085918314755e-05
69,9.903906175168231e-06
70,0.0035223918966948986
71,6.541714537888765e-05
72,0.017239252105355263
73,0.22944344580173492
74,0.06154331564903259
75,0.2536430060863495
76,0.015070123597979546
77,0.04517761245369911
78,0.030148500576615334
79,0.771523654460907
80,0.030821477994322777
81,0.144894540309906
82,0.04757634177803993
83,0.05646854266524315
84,0.004371809307485819
85,0.014550535008311272
86,0.0077814096584916115
87,0.00030917857657186687
88,0.0001886662357719615
89,0.04063991829752922
90,0.059979937970638275
91,0.011378565803170204
92,0.006568454671651125
93,0.05443115532398224
94,0.0055961306206882
95,0.016324570402503014
96,0.003742767730727792
97,0.2499077022075653
98,0.0015871195355430245
99,0.04697218909859657
100,0.0008688095840625465
101,0.0007982110837474465
102,0.02434726431965828
103,0.0017178473062813282
104,0.015311691910028458
105,0.0017886946443468332
106,0.0029617478139698505
107,0.044959597289562225
108,0.00224966905079782
109,0.004853656515479088
110,0.0004690354107879102
111,0.0003661850932985544
112,0.0031044550705701113
113,0.0002112633374053985
114,0.00011378269118722528
115,2.0801884602406062e-05
116,1.6876225345185958e-05
117,0.000168015860253945
118,3.7311678170226514e-05
119,8.876608262653463e-06
120,0.0002413879265077412
121,5.000843884772621e-06
122,2.1525751435547136e-05
123,2.228987250418868e-05
124,3.687872322188923e-06
125,1.13523692562012e-05
126,6.023521564202383e-06
127,8.06188654678408e-06
128,2.0693480564659694e-06
129,3.373031631781487e-06
130,3.915043635061011e-06
131,0.00048786893603391945
132,2.073021960313781e-06
133,3.8673821109114215e-05
134,5.2598825277527794e-05
135,4.054815690324176e-06
136,2.190421810155385e-06
137,3.481070507405093e-06
138,4.639483904611552e-06
139,2.887092023229343e-07
140,1.5906758790151798e-06
141,9.555270708005992e-07
142,7.127122898964444e-06
143,1.0486469363968354e-06
144,1.2069810964021599e-06
145,7.46004116081167e-06
146,8.065919246291742e-06
147,1.3227313502284233e-05
148,2.6449461643096583e-07
149,7.934706331980124e-07
150,6.277767624851549e-06
151,3.576265044102911e-07
152,3.4272582638550375e-07
153,2.2537948041190248e-07
154,8.253238775068894e-06
155,8.735659662306716e-07
156,1.0728660981840221e-06
157,5.364365165405616e-07
158,2.8870937285319087e-07
159,2.004752604989335e-05
160,5.289866749080829e-07
161,1.9743991686027584e-07
162,6.948151167307515e-06
163,0.00010425014625070617
164,1.2330589242992573e-06
165,1.4900517726346152e-06
166,2.9988436267558427e-07
167,7.450567096611849e-08
168,1.676371965686485e-07
169,2.2351736461700966e-08
170,1.8626442610525373e-08
171,1.0058261068479624e-07
172,5.681022798853519e-07
173,1.6763801014008095e-08
174,2.048908953611317e-08
175,5.5879341154252415e-09
176,1.4156078975702258e-07
177,2.4214379834575084e-08
178,2.495935689239559e-07
179,4.3771780156021123e-07
180,6.928925131433061e-07
181,2.9988478900122573e-07
182,3.501741048239637e-07
183,3.6057087982044322e-06
184,5.960460214282648e-08
185,8.888075171853416e-06
186,5.5879308291650887e-08
187,9.368975497636711e-07
188,2.8125768380959926e-07
189,3.7252885221050747e-08
190,9.872005080069357e-08
191,5.925829555053497e-06
192,1.4695744994241977e-06
193,1.5478372006327845e-05
194,2.7939657698539122e-08
195,1.6950008330240962e-07
196,2.9802313505911115e-08
197,1.8998862572061626e-07
198,4.861436195824353e-07
199,3.3527591369875154e-08
