,activity_set,activity,f1_score
0,set_1,lay,0.6875
1,set_1,pickup,0.666667
2,set_1,sit,0.428571
3,set_1,stand,0.622951
4,set_1,standff,0
5,set_1,walk,0.99
6,set_1,waving,0
7,set_2,lay,0.727273
8,set_2,pickup,0.673267
9,set_2,sit,0.407407
10,set_2,stand,0.633333
11,set_2,standff,0
12,set_2,walk,0.942308
13,set_2,waving,0.919355
14,set_3,lay,0.514286
15,set_3,pickup,0.666667
16,set_3,sit,0.448276
17,set_3,stand,0.622951
18,set_3,standff,0.37037
19,set_3,walk,0.975369
20,set_3,waving,0
21,set_4,lay,0.4375
22,set_4,pickup,0.586957
23,set_4,sit,0.42623
24,set_4,stand,0.557377
25,set_4,standff,0.4
26,set_4,walk,0.917874
27,set_4,waving,0.883721
